id,apellido,nombre,genero,distrito,inicio,fin,juramento,cese,bloque,bloque_inicio,bloque_fin
hcdn1046,rodriguez,evaristo arturo,m,santa cruz,2007-12-10,2011-12-09,2007-12-05,2011-12-09,frente para la victoria - pj,2007-12-10,2011-12-09
hcdn0642,rodriguez,marcela virginia,f,buenos aires,2009-12-10,2013-12-09,2009-12-03,2013-12-09,coalicion civica,2009-12-10,2011-08-04
hcdn0642,rodriguez,marcela virginia,f,buenos aires,2009-12-10,2013-12-09,2009-12-03,2013-12-09,democracia igualitaria y participativa (d.i.p.),2011-08-05,2013-12-09
hcdn1494,rodriguez,matias david,m,tierra del fuego,2015-12-10,2019-12-09,2015-12-04,2019-12-09,frente para la victoria - pj,2015-12-10,2019-12-09
hcdn3233,rodriguez,miguel,m,tierra del fuego,2025-12-10,2029-12-09,,2029-12-09,la libertad avanza,2025-12-10,2029-12-09
hcdn1457,rodriguez,rodrigo martin,m,buenos aires,2015-12-10,2019-12-09,2015-12-04,2019-12-09,frente para la victoria - pj,2015-12-10,2019-12-09
hcdn1548,rodriguez machado,laura elena,f,cordoba,2021-12-10,2025-12-09,2021-12-07,2025-12-09,pro,2021-12-10,2023-12-09
hcdn1548,rodriguez machado,laura elena,f,cordoba,2021-12-10,2025-12-09,2021-12-07,2025-12-09,pro,2023-12-10,2025-11-03
hcdn1548,rodriguez machado,laura elena,f,cordoba,2021-12-10,2025-12-09,2021-12-07,2025-12-09,la libertad avanza,2025-11-03,2025-12-09
hcdn1548,rodriguez machado,laura elena,f,cordoba,2025-12-10,2029-12-09,,2029-12-09,la libertad avanza,2025-12-10,2029-12-09
