"ID","APELLIDO","NOMBRE","GENERO","DISTRITO","INICIO","FIN","JURAMENTO","CESE","BLOQUE","BLOQUE_INICIO","BLOQUE_FIN"
"HCDN1089","SOLA","FELIPE CARLOS","M","BUENOS AIRES","2013-12-10T00:00:00","2017-12-09T00:00:00","2013-12-04T00:00:00","2017-12-09T00:00:00","FEDERAL UNIDOS POR UNA NUEVA ARGENTINA","2015-12-10T00:00:00","2017-12-09T00:00:00"
"HCDN1089","SOLA","FELIPE CARLOS","M","BUENOS AIRES","2017-12-10T00:00:00","2021-12-09T00:00:00","2017-12-10T00:00:00","2019-12-10T00:00:00","FEDERAL UNIDOS POR UNA NUEVA ARGENTINA","2017-12-10T00:00:00","2018-10-21T00:00:00"
"HCDN1089","SOLA","FELIPE CARLOS","M","BUENOS AIRES","2017-12-10T00:00:00","2021-12-09T00:00:00","2017-12-10T00:00:00","2019-12-10T00:00:00","RED POR ARGENTINA","2018-10-22T00:00:00","2019-12-09T00:00:00"
"HCDN1089","SOLA","FELIPE CARLOS","M","BUENOS AIRES","2017-12-10T00:00:00","2021-12-09T00:00:00","2017-12-10T00:00:00","2019-12-10T00:00:00","FRENTE DE TODOS","2019-12-10T00:00:00","2019-12-10T00:00:00"
"HCDN1212","SOLANAS","FERNANDO EZEQUIEL","M","CIUDAD DE BUENOS AIRES","2009-12-10T00:00:00","2013-12-09T00:00:00","2009-12-03T00:00:00","2013-12-09T00:00:00","MOVIMIENTO PROYECTO SUR","2009-12-10T00:00:00","2013-12-09T00:00:00"
"HCDN0648","SOLANAS","JULIO RODOLFO","M","ENTRE RIOS","2011-12-10T00:00:00","2015-12-09T00:00:00","2011-12-06T00:00:00","2015-12-09T00:00:00","FRENTE PARA LA VICTORIA - PJ","2011-12-10T00:00:00","2015-12-09T00:00:00"
"HCDN0648","SOLANAS","JULIO RODOLFO","M","ENTRE RIOS","2015-12-10T00:00:00","2019-12-09T00:00:00","2015-12-04T00:00:00","2019-12-09T00:00:00","FRENTE PARA LA VICTORIA - PJ","2015-12-10T00:00:00","2019-12-09T00:00:00"
"HCDN3163","SOLDANO","LAURA","F","CORDOBA","2025-12-10T00:00:00","2029-12-09T00:00:00",NA,"2029-12-09T00:00:00","LA LIBERTAD AVANZA","2025-12-10T00:00:00","2029-12-09T00:00:00"
"HCDN1497","SORAIRE","MIRTA ALICIA","F","TUCUMAN","2015-12-10T00:00:00","2019-12-09T00:00:00","2015-12-04T00:00:00","2019-12-09T00:00:00","FRENTE PARA LA VICTORIA - PJ","2015-12-10T00:00:00","2017-12-05T00:00:00"
"HCDN1497","SORAIRE","MIRTA ALICIA","F","TUCUMAN","2015-12-10T00:00:00","2019-12-09T00:00:00","2015-12-04T00:00:00","2019-12-09T00:00:00","JUSTICIALISTA POR TUCUMAN","2017-12-06T00:00:00","2017-12-11T00:00:00"
